index,source_en,predicted_hi,reference_hi,chrf_score,category,pred_len,ref_len,len_diff
1102,if the genuineness criteria was adopted a visa applicant could be scrutinised about whether the nomination is genuine in circumstances where the nominee is a relation or personal associate of an owner or relevant person of the sponsoring business.,"अगर इस बारे में सही नज़रिया बनाए रखा जाए, तो फिर ऐसे हालात में क्या किया जा सकता है, जब कोई व्यक्‍ति अपने मालिक के साथ रिश्‍ता या किसी और के साथ रिश्‍ता जोड़ता जोड़ता है?","यदि प्रमाणिकता मानदण्ड को अपनाया जाता तो, वीजा आवेदक की जांच इस बारे में की जा सकती है कि क्या नामांकन ऐसी परिस्थितियों में सच्चा है, जिसमें नामांकित व्यक्ति, वीजा प्रायोजित करने वाले व्यक्ति के स्वामी अथवा सुसंगत व्यक्ति का सम्बन्धी अथवा व्यक्तिगत साथी है।",19.26,Bad,36,45,9
1103,businesses could also be required to account for the number of 457 visa holders after previously businesses who had intended to sponsor a small number of workers then employed hundreds.,"व्यापार की माँग भी की जा सकती थी कि पहले के व्यापारों के बाद 4507 वीज़ा अधिकारीों की संख्या का हिसाब दें, जिन्होंने उस समय सैकड़ों मज़दूरों को सहयोग देने का इरादा किया था ।","व्यवसायियों को वीजा धारकों की संख्या की गणना रखने की आवश्यकता हो सकता है, क्योंकि पहले व्यवसायी जो कि कम संख्या में कर्मचारियों को प्रायोजित करना चाहते थे, ने सैकड़ों लोगों को काम पर रख लिया।",26.66,Medium,35,36,1
1104,"meanwhile, a 35yearold sri lankan asylum seeker died of a suspected heart attack after arriving on an asylum boat at christmas island this week.",इस सप्ताह क्लोरोस द्वीप में एक शरण नाव पर पहुँचने के बाद एक संदेही दिल के दौरे के 35 साल की खोज - बीन की गई ।,"इस दौरान, वर्षीय श्रीलंकाई शरण साधक, इस सप्ताह क्रिसमस आईसलैण्ड पर एक शरणार्थी नाव में आने के पश्चात संदिग्ध हृदयाघात से मर गया।",20.79,Medium,27,23,4
1105,the mans distraught nineyearold son travelled to australia with him and has been comforted since the death of his father on wednesday by an adult cousin who was also on the vessel.,उस आदमी ने नौ साल के बेटे को उसके साथ एक कुएँ में स्थानांतरित किया और उसे तब से सांत्वना मिली जब तक कि उसके पिता की मृत्यु एक वयस्क चचेरे भाई के साथ भी थी जो जहाज़ पर भी था ।,"उस व्यक्ति का व्याकुल नौ वर्षीय पुत्र उसके साथ यात्रा पर ऑस्ट्रेलिया आया हुआ था, तथा बुधवार को उसके पिता की मृत्यु के पश्चात उसके एक वयस्क चचेरे भाई ने ढांढस बंधाया है, जो कि उसी पोत पर थे।",32.25,Medium,42,39,3
1106,"australian authorities rushed the man to christmas island hospital, where he died.",एक वक्‍त ऐसा आया जब एक आदमी की मौत हो गयी ।,"ऑस्ट्रेलियाई अधिकारियों ने उस व्यक्ति को क्रिसमस आईसलैण्ड अस्पताल पहुंचाया, जहां पर उसकी मृत्यु हो गई।",6.61,Bad,12,16,4
1107,a study aiming to increase the benefits to scotland of the hs2 rail project has been announced by the uk government.,एक अध्ययन का उद्देश्‍य है कि डायक्लूट परियोजना के संकाण्डन को बढ़ाने के लाभों को बढ़ाना ।,ब्रिटिश सरकार द्वारा रेल परियोजना से स्कॉटलैंड के लाभों में वृद्धि के लिए अध्ययन की घोषणा की गई है।,26.5,Medium,17,19,2
1108,the work by hs2 ltd suggests highspeed services to scotland and the north of england will start as soon as phase one opens in 2026.,"सन्‌ 2026 में जब एक चरण शुरू हो जाएगा, तब इस काम की शुरूआत हो जाएगी ।"," द्वारा कार्य स्कॉटलैंड और इंग्लैंड के उत्तरी भाग में उच्च गति सेवाओं को इंगित करते हैं, जो में प्रथम चरण के साथ जल्द ही शुरू हो जाएंगे।",13.81,Bad,17,27,10
1109,transport minister baroness kramer said the project would bring the uk together.,परिवहन मंत्री बार्रामिस ने कहा कि परियोजना को एक साथ लाना होगा।,परिवहन मंत्री बैरोनेस क्रेमर ने बताया कि इस परियोजना से ब्रिटेन एक हो जाएगा।,36.95,Medium,12,14,2
1110,scottish transport minister keith brown said he was excited to work with the uk government on the plan.,उसने कहा कि वह योजना पर uke सरकार के साथ काम करने के लिए उत्सुक था।,स्कॉटलैंड के परिवहन मंत्री कीथ ब्राउन ने कहा कि इस परियोजना पर ब्रिटेन सरकार के साथ काम करके वे बहुत उत्साहित हैं।,31.74,Medium,16,22,6
1111,phase one will consist of a new high speed rail line between london and the west midlands.,एक चरण में एक नया उच्च गति की रेल रेखा होगी... ... झीलों और पश्‍चिम के बीच.,प्रथम चरण में लंदन और वेस्ट मिडलैंड्स के बीच नई उच्च गति रेल लाइन शामिल होगी।,26.07,Medium,17,16,1
1112,"when phase two is completed, lines will run to manchester and leeds.","जब दो चरण पूरे हो जाते हैं, पंक्तियाँ पुरुष व लेस्टर और लीविस तक जाती हैं.","दूसरा चरण पूरा हो जाने पर, लाइनें मैनचेस्टर और लीड्स तक पहुँच जाएँगी।",28.28,Medium,16,13,3
1113,in june the government revised the estimated cost of building the highspeed link between london and the north of england from 32.7bn to 42.6bn.,"सन्‌ 327ख से 42बी तक, सरकार ने अनुमान लगाया था कि इस बात की गारंटी दी गयी है कि इस इलाके और उत्तर - पश्‍चिम एशिया के बीच की दीवार बनाने का खर्च बहुत बड़ा है ।",जून में सरकार ने लंदन और उत्तरी इंग्लैंड के बीच उच्च गति लिंक के निर्माण की लागत को . बिलियन से संशोधित करके . बिलियन कर दिया।,22.24,Medium,37,27,10
1114,"the uk government, which has been holding talks with transport scotland, has instructed hs2 ltd to look at further rail capacity and journey time improvements for northern england and scotland.","किक सरकार, जो परिवहन के साथ भाषण दे रही है, ने Dsus2 को निर्देशित किया है कि अधिक क्रूरता क्षमता और उत्तरी ईंगलैंड और कैंओलैंड के लिए यात्रा समय सुधार करें.","ब्रिटिश सरकार ने, जो स्कॉटलैंड परिवहन से बातचीत कर रही थी, लिमिटेड को उत्तरी इंग्लैंड और स्कॉटलैंड के लिए रेल क्षमता और यात्रा के समय को और बेहतर बनाने की संभावनाओं पर विचार करने का निर्देश दिया।",31.24,Medium,31,37,6
1115,this is to include the possibility of eventual journey times from glasgow and edinburgh to london of three hours or less.,इसमें तीन घंटे या उससे भी कम समय की संभावना शामिल है ।,इसमें ग्लासगो और एडिनबर्ग से लंदन तक संभावित यात्रा समय को तीन घंटे या कम करने की संभावना शामिल है।,37.41,Medium,13,20,7
1116,baroness kramer said our goal for hs2 is for a truly national network that will bring the uk and its cities closer together.,बार्रामर ने कहा कि हमारे लक्ष्य को Dsss2 के लिए वास्तव में एक राष्ट्रीय नेटवर्क के लिए है जो कि ku और उसके शहरों को एक साथ ले जाएगा।,"बैरोनेस क्रेमर के अनुसारः के लिए हमारा लक्ष्य वास्तविक राष्ट्रीय नेटवर्क है, जो यूके और उसके शहरों को करीब लाएगा।",48.48,Medium,29,20,9
1117,we are driving forward hs2 because the benefits it will bring are huge.,हम आगे गाड़ी चला रहे हैं क्योंकि इससे हमें बहुत फायदे होंगे ।,"हम के साथ आगे बढ़ रहे हैं, क्योंकि इसके लाभ बहुत अधिक होंगे।",38.62,Medium,13,13,0
1118,without it we face a crisis in capacity on our rail network.,इसके बिना हम हमारी क्रूरता नेटवर्क पर एक संकट का सामना कर रहे हैं.,इसके बिना हम अपने रेल नेटवर्क की क्षमता से संबंधित समस्याओं का सामना करेंगे।,36.89,Medium,14,14,0
1119,"but it is also about connectivity, across the uk 18 cities including glasgow and edinburgh will be better connected because of hs2.",लेकिन यह bukag 18 शहरों के पार भी है जिसमें gs2 के कारण बेहतर जुड़े होंगे।,"लेकिन यह ग्लासगो और एडिनबर्ग सहित ब्रिटेन के शहरों की कनेक्टिविटी के बारे में भी है, जो के कारण और अच्छी तरह जुड़ जाएंगे।।",22.67,Medium,16,24,8
1120,scottish secretary alistair carmichael added todays announcement is good news for scotland.,आज की घोषणा की जा रही है कि कैंचलैंड के लिए अच्छी खबर है।,स्कॉटिश सचिव एलिस्टेयर कारमाइकल के अनुसारः आज की घोषणा स्कॉटलैंड के लिए अच्छी ख़बर है।,35.47,Medium,14,15,1
1121,"for the scottish government, keith brown called on mr carmichael to unequivocally back scotlands inclusion in the hs2 network.",द न्यू यॉर्क टाइम्स्‌ (अंग्रेज़ी) रिपोर्ट करता है ।,"स्कॉटिश सरकार के लिए, कीथ ब्राउन ने श्री कारमाइकल से नेटवर्क में स्कॉटलैंड की स्पष्ट वापसी की अपील की।",8.16,Bad,9,19,10
1122,"mr brown said high speed rail has the potential to bring huge economic benefits to scotland, but also adds scotlands economic weight to the overall case for high speed rail across britain.",लेकिन यह भी कहा जा सकता है कि हवा में तेज़ रफ्तार से चलने की वजह से हवा की रफ्तार कम हो जाती है ।,"श्री ब्राउन ने बतायाः उच्च गति रेल से स्कॉटलैंड को भारी आर्थिक लाभ होने की संभावना तो है, लेकिन इससे पूरे ब्रिटेन में उच्च गति रेल के पूरे मामले में स्कॉटलैंड पर आर्थिक भार भी बढ़ेगा।",10.94,Bad,25,36,11
1123,"so we are excited to work in partnership with the uk government to examine options for bringing high speed rail to scotland, creating benefit for all and complementing the glasgowedinburgh line which the scottish government is already planning.",इसलिए हम uuk सरकार के साथ साझा करने के लिए विकल्प लाने के लिए उत्साहित कर रहे हैं... ... उच्च गति की रेल के लिए विकल्प लाने के लिए...,"इसलिए हम ब्रिटिश सरकार की भागीदारी में कार्य करने के प्रति उत्साहित हैं, ताकि हम स्कॉटलैंड में उच्च गति रेल लाने, सभी के लिए लाभ का सृजन करने और ग्लासगोएडिनबर्ग लाइन की पूर्ति करने हेतु विकल्पों की जांच कर सकें, जिसकी स्कॉटिश सरकार पहले से ही योजना बना रही है।",20.52,Medium,29,50,21
1124,i look forward to reviewing the report of the investigation with uk ministers next year and together decide on the next steps.,मैं अगले साल टैक सेवकों के साथ जांच की रिपोर्ट पर पुनर्विचार करने की उत्सुकता से प्रत्याशा करता हूँ और अगले चरणों पर साथ मिलकर निर्णय करता हूँ ।,मैं अगले वर्ष ब्रिटिश सरकार के मंत्रियों के साथ जांच रिपोर्ट की समीक्षा करने और आगे की कार्रवाई पर साथ मिलकर निर्णय लेने के लिए तत्पर हूँ।,40.63,Medium,29,27,2
1125,aircraft electronic device rules to stay in force in australia for now,हवाई जहाज़ की मदद से आज के लिए विमान - यंत्रों का इस्तेमाल किया जा सकता है,विमान विद्युत उपकरण नियम अभी ऑस्ट्रेलिया में प्रभावी रहेंगे,15.14,Bad,17,9,8
1126,australian airline passengers will need to continue turning off their tablets and smart phones during takeoff and landing despite moves in the us to loosen regulations covering the devices.,"जब हम जहाज़ पर सवार होते हैं, तो हमें उन नियमों को अपने ऊपर हावी नहीं होने देना चाहिए जो हम आसानी से लिख सकते हैं ।"," में उपकरण सम्बन्धित विनियमनों में नरमी बरते जाने वाले कदम के बावजदू, ऑस्ट्रेलियाई वायुयान यात्रियों को उड़ान भरते समय तथा विमान उतरते समय अपने टेब्लेट और स्मार्ट फोन बंद करना जारी रखना होगा।",12.64,Bad,27,33,6
1127,"the us federal aviation administration has left the way open for american carriers to change their procedures so that passengers will be able to read ebooks, watch videos or play games on their devices during critical phases of flight provided they remain in airplane mode.","हवाई जहाज़ के बड़े - बड़े केंद्रों में, विमान - चालकों ने विमान - व्यवस्था के कठिन चरणों में वे हवाई जहाज़ में रह रहे हैं, इसलिए यात्रियों को उनके कार्यों को बदलने के लिए रास्ता खुला रखा है ताकि वे ईबुक, वीडियो या खेलों को पढ़ सकें या खेल सकें ।"," संघीय विमानन प्रशासन ने अमेरिकी वायुयान सेवा कम्पनियों को अपने प्रक्रियाएं बदलने के लिए विकल्प खुला छोड़ा है, ताकि उड़ान के महत्वपूर्ण चरणों के दौरान यात्री ईबुक पढ़ने, वीडियो देखने अथवा अपने उपकरण पर गेम खेलने में सक्षम होंगे, बशर्ते वे उपकरण वायुयान मोड में रहें।",26.04,Medium,52,46,6
1128,passengers can already do this during the bulk of a flight but many people find it annoying to be unable to access their ebooks during takeoffs and landings.,हवाई सफर के दौरान यात्री पहले से ही ऐसा कर सकते हैं ।,"यात्री अभी ही बहुत सी उड़ानों के दौरान ऐसा कर सकते हैं, लेकिन बहुत से लोगों को उड़ान भरने तथा विमान उतरते समय अपनी ईबुक आदि तक पहुँच करने में अक्षम होना अच्छा नहीं लगता।",18.2,Bad,13,35,22
1129,"australian carriers are looking at the decision, which requires us carriers to undertake a massive amount of work to meet the requirements, but have indicated they have no immediate plans to change their procedures.",लेकिन उन्होंने बताया है कि उन्हें अपने तरीके बदलने की कोई योजना नहीं है ।,"ऑस्ट्रेलियाई वायुयान सेवा कम्पनियाँ इस निर्णय पर विचार कर रही हैं, जिसके अनुसार वायुयान सेवा कम्पनियों को इस आवश्यकता को पूर्ण करने के लिए बहुत अधिक कार्य करने होंगे, लेकिन उन्होंने संकेत दिया है कि अपनी प्रक्रियाओं में परिवर्तन करने के लिए उनके पास कोई तत्काल योजना नहीं है।",16.0,Bad,15,49,34
1130,the civil aviation safety authority also said it was looking at the announcement but emphasised that restrictions on the use of electronic devices in critical phases of flight were still in place in australia.,यह घोषणा पर भी ज़ोर दिया गया कि उड़ान के कठिन चरणों में इलेक्ट्रॉनिक यंत्रों के प्रयोग पर प्रतिबंध अब भी क़ाबू में थे ।,"नागरिक विमानन सुरक्षा प्राधिकरण ने यह भी कहा कि वह घोषणा के बारे में विचार कर रही है, लेकिन जोर दिया कि ऑस्ट्रेलिया में अभी भी उड़ान के महत्वपूर्ण चरणों में विद्युत उपकरणों के उपयोग पर प्रतिबंध प्रभावी हैं।",27.76,Medium,25,39,14
1131,"casa currently has no specific regulations governing the use of electronic devices in aircraft, it said the issue is covered by regulations which require aircraft operators to ensure safety is maintained at all times and passengers to comply with the safety instructions given by crew members.",हवाई जहाज़ में इलेक्ट्रॉनिक उपकरणों का इस्तेमाल करने के लिए अब तक कोई खास नियम नहीं बनाए गए हैं ।,"वर्तमान में के पास, विमान में विद्युत उपकरणों के उफयोग को नियंत्रित करने वाला कोई विशिष्ट विनियमन नहीं है, प्राधिकरण ने कहा, यह मुद्दा विनियमनों के अन्तर्गत आता है, जिसके अनुसार विमान सेवा संचालन कम्पनियों को सुनिश्चित करना होता है कि सुरक्षा व्यवस्था हमेशा पूरी तरह से बनी हुई है, तथा यात्रियों को चालक दल के सदस्यों द्वारा दिए जाने वाले सुरक्षा निर्देशों का अनुपालन करना होता है।",9.34,Bad,20,68,48
1132,"virgin, which has already been talking to casa about extending the use its inflight wifi entertainment system, was amenable to a change but said it would take its lead from the regulator.",यह एक परिवर्तन के लिए एक परिवर्तन था लेकिन कहा कि यह अपने नेतृत्व को रीकर से ले जाएगा.,"वर्जिन जो अपने इनफ्लाइट वाईफाई मनोरंजन सिस्टम के उपयोग को विस्तारित करने के बारे में के साथ पहले से ही बातचीत कर रही है, वह इस परिवर्तन का पालन करने के लिए तैयार है, लेकिन उसने विनियामक के निर्देश पर आगे की कार्यवाही करने के लिए कहा।",14.7,Bad,19,47,28
1133,"we would welcome a review by casa into allowing the use of electronic devices because we really do think it will improve the customer experience now that we have wireless inflight entertainment on our planes, a spokesman said.","एक वक्‍ता ने कहा कि अब हम अपने हवाई - जहाज़ के लिए सहज मनोरंजन का मज़ा ले रहे हैं, क्योंकि हम सोचते हैं कि यह वास्तव में ग्राहक अनुभव को बेहतर करेगा क्योंकि अब हम अपने हवाई - अड्डे के बारे में सोचते हैं ।","प्रवक्ता ने कहा कि हम विद्युत उपकरणों के उपयोग की अनुमति दिए जाने के मामले में द्वारा समीक्षा का स्वागत करेंगे, क्योंकि हमें वास्तव में ऐसा लगता है कि यह ग्राहकों को बेहतर अनुभव प्रदान करेगा, क्योंकि अब हमारे पास वायरलेस इनफ्लाइट मनोरंजन हमारे विमानों में है।",31.65,Medium,46,47,1
1134,qantas said it would stick with the current rules for now.,यह अब के लिए वर्तमान नियमों के साथ जुड़ा हुआ होगा.,क्वांटास ने कहा कि यह अभी वर्तमान नियमों का पालन करेगी।,34.06,Medium,11,11,0
1135,"our current policy is that electronic devices cannot be used during takeoff and landing and we have no immediate plans to change that, it said.",हमारी वर्तमान नीति यह है कि उड़ान भरने और उतरने के दौरान इलेक्ट्रॉनिक यंत्रों का इस्तेमाल नहीं किया जा सकता और हमारे पास उस बदलाव को बदलने की कोई जल्दी योजना नहीं है ।,"इसने कहा कि हमारी वर्तमान नीति के अनुसार उड़ान भरने तथा विमान उतरने के दौरान विद्युत उपकरणों का उपयोग नहीं किया जा सकता है, तथा इसे परिवर्तित करने की हमारे पास कोई तत्काल योजना नहीं है।",47.16,Medium,34,36,2
1136,the faa ruling applies to american airlines.,"एक नियम पर गौर कीजिए, जो जीव - विज्ञानी हवाई जहाज़ पर लागू होता है ।"," निर्णय, अमेरिकी एलरलाइनों पर लागू होते हैं।",25.81,Medium,16,7,9
1137,"however, we are always interested in regulatory developments that could benefit passengers and we will certainly be taking a close look at the faas decision and the reasons behind it.","लेकिन, हम हमेशा उन पुनर्भरणीय विकासों में दिलचस्पी रखते हैं जो यात्रियों को लाभ पहुँचा सकते हैं और हम निश्‍चित रूप से उस निर्णय को और उसके पीछे के कारणों को देखते रहेंगे ।","वैसे, हम हमेशा ही ऐसे विनियामक विकासों में रुचि रखते हैं, जो यात्रियों को लाभ पहुंचा सकें तथा हम निश्चित रूप से के निर्णय तथा उसके पीछे के कारणों पर विचार करेंगे।",52.89,Good,34,32,2
1138,"for us carriers, the impact of the ruling will vary from airline to airline and will depend on the age of their fleet.","हमारे किसानों के लिए, सरकार का प्रभाव हवाई जहाज़ से भिन्‍न होगा और उनके बेड़े की उम्र पर निर्भर रहेगा ।","इस निर्णय का प्रभाव, प्रत्येक वायुयान सेवा कम्पनी पर अलगअलग होगा तथा उनके विमान की आयु पर निर्भर करेगा।",27.2,Medium,21,19,2
1139,"carriers will need to prove their planes can tolerate radio interference from mobile devices as well as revise manuals, training materials, carryon baggage programs and passenger briefings.",विमानों को अपने विमानों को साबित करने की ज़रूरत होगी कि वे मोबाइल उपकरणों से रेडियो हस्तक्षेप को बरदाश्‍त कर सकते हैं ।,"वायुयान सेवा कम्पनियों को यह प्रमाणित करने की आवश्यकता होगी कि उनके विमान मोबाइल उपकरणों से रेडियो व्यतिकरण को सहन कर सकते हैं, साथ ही उन्हें अपनी नियम पुस्तिकों, प्रशिक्षण सामग्री, कैरीऑन बैगेज प्रोग्राम तथा यात्रियों को संक्षिप्त विवरण देने में संशोधन करना होगा।",25.89,Medium,23,44,21
1140,"once an airline verifies the tolerance of its fleet, it can allow passengers to use handheld, lightweight electronic devices such as tablets, ereaders, and smartphonesat all altitudes, the faa said.",एक बार हवाई जहाज़ अपने बेड़े की सहनशीलता को बढ़ावा देता है ।," ने कहा कि एयरलाइनों द्वारा उनके विमान की सहनीयता के सत्यापन के पश्चात वह यात्रियों को सभी ऊंचाइयों पर हाथ में पकड़ने वाले, हल्के वजन के विद्युत उपकरण जैसे कि टेब्लेट, ईरीडर्स तथा स्मार्टफोन उपयोग करने की अनुमति देगा।",7.59,Bad,13,39,26
1141,"in rare instances of low visibility, the crew will instruct passengers to turn off their devices during landing.",इस तरह वे यात्रियों को हुक्म देंगे कि वे जहाज़ से उतरने के लिए अपना सामान बंद कर दें ।,"कम दृश्यता के विरल मामलों में, चालक दल यात्रियों को विमान उतरने के दौरान अपने उपकरण बंद करने का निर्देश देगा।",27.66,Medium,20,21,1
1142,the group also recommended that heavier devices should be safely stowed under seats or in overhead bins during takeoff and landing.,उस समूह ने यह भी सिफ़ारिश की कि उड़ान भरने और उतरने के दौरान भारी - भरकम यंत्रों को आसानी से सीटों के नीचे या शीर्ष के नीचे ही रखा जाना चाहिए ।,समूह ने उड़ान भरने तथा विमान उतरने के दौरान भारी उपकरणों को सुरक्षित तरीके से सीट के नीचे रखने अथवा ऊपरी डिब्बों में रखने का सुझाव भी दिया है।,35.92,Medium,33,29,4
1143,pawnbrokers shine in singapore as middle class feel the pinch,बंग्लादेश में सजग होइए!,सिंगापुर में मध्यम वर्ग द्वारा कठिनाई महसूस किए जाने के कारण पॉनब्रोकर्स की चांदी,5.73,Bad,4,14,10
1144,"at a pawnshop in bendemeer shopping centre in singapore, janani amirthalinga is swapping a gold bangle, ring and pair of earrings to pay her daughters school fees.","इस तरह वे अपनी बेटियों को स्कूल की फीस देने के लिए सोना, अंगूठी और बाल के दो जोड़े लगा देते हैं ।","सिंगापुर में बेंडेमीयर शॉपिंग सेन्टर में पॉनशॉप में जनानी अमीरथलिंगा अपनी बेटी की स्कूल फीस का भुगतान करने के लिए अपनी सोने की चूड़ी, अंगूठी तथा झुमके देकर नकदी ले रही हैं।",20.94,Medium,23,32,9
1145,"my husband and i have just bought a house so all my moneys stuck there, mrs amirthalinga says.","मेरे पति और मैं सिर्फ एक घर खरीदा है तो मेरे सारे पैसे वहाँ फंस गए हैं, एक बदमाश कहते हैं.","श्रीमती अमीरथलिंगा ने कहा, मेरे पति तथा मैने हाल ही में घर खरीदा है, इसलिए हमारा सारा पैसा उसमें फंसा हुआ है।",24.65,Medium,21,22,1
1146,"even though she earns s3,000 2,400 a month as an administrator and her husband works as well, the monthly family income is insufficient, she says.","हालाँकि वह एक प्रशासक और उसके पति के रूप में एक महीने में २,५०० डॉलर कमाती है, फिर भी मासिक परिवार की आमदनी अपर्याप्त है, वह कहती है ।","वे कहती हैं कि, यद्यपि वे एडमिनिस्ट्रेटर के रूप में , सिंगापुर डॉलर , यू.एस. डॉलर कमाती हैं, तथा उनके पति भी नौकरी करते हैं, लेकिन परिवार की मासिक आय अपर्याप्त रहती है।",34.28,Medium,29,33,4
1147,"indeed, such is demand across parts of southeast asia where household debt is rising that valuemax, where she is carrying out her transaction, this week became the third pawnshop to list on the singapore stock exchange.","वास्तव में, ऐसी माँग दक्षिण - पूर्वी एशिया के भागों के पार की जाती है जहाँ घर का कर्ज़ बढ़ता जा रहा है, जहाँ वह अपने लेन - देन से बाहर ले जा रही है, यह सप्ताह गीत गृह की सूची पर सूचीबद्ध करने के लिए तीसरा पैदला बन गया ।","वास्तव में, दक्षिणपूर्व एशिया के हिस्सों में ऐसी ही मांग है जहां घरेलू ऋण में वृद्धि हो रही है वैल्यूमैक्स जहां वे अपना लेनदेन कर रही हैं, इस सप्ताह सिंगापुर स्टॉक एक्सचेन्ज पर सूचीबद्ध होने वाली तीसरी पॉनशॉप बन गई।",31.07,Medium,51,40,11
1148,"pawning jewellery is not merely a fast way to land cash s1,300 in ms amirthalingas case but almost as cheap as unsecured bank loans.","इसके बजाय, यह सिर्फ एक बहुत ही पेचीदा बैंक के उधार के बराबर होता है ।","आभूषण गिरवी रखना नकदी प्राप्त करने का एकमात्र तरीका नहीं है सुश्री अमीरथलिंगा के मामले में , सिंगापुर डॉलर बल्कि लगभग असुरक्षित बैंक लोन जितना सस्ता भी है।",8.86,Bad,16,28,12
1149,"typically pawnbrokers in singapore charge an effective annual percentage rate of 17 per cent, just above the 15.4 per cent offered at united overseas bank, a local lender with a branch in the same shopping centre.","आम तौर परrogor में एक प्रभावी वार्षिक प्रतिशत दर १७ प्रतिशत है, केवल १५ प्रतिशत से अधिक, एक दूसरे देशों के बैंक में भेंट किए गए एक स्थानीय ऋणी बैंक में, जो उसी बाज़ार में एक शाखा के साथ एक स्थानीय ऋणदाता है ।","आम तौर पर सिंगापुर में पॉनब्रोकर प्रतिशत प्रति वर्ष ब्याज लेते हैं, जो युनाइटेड ओवरसीज बैंक द्वारा पेश किए जाने वाले . प्रतिशत से थोड़ा ही अधिक है, जो स्थानीय ऋणदाता है जिसकी उसी शॉपिंग सेन्टर में शाखा है।",32.99,Medium,44,39,5
1150,"however, pawnbrokers have the advantage of not requiring credit checks or proof of salary, and can arrange loans faster than banks.","इसके अलावा, यह भी हो सकता है कि उसके माल को बैंक से भी तेज़ रफ्तार से भर जाए ।","तथापि, पॉनब्रोकर्स के पास क्रेडिट की जांच अथवा वेतन का प्रमाण की आवश्यकता न होने का लाभ है, तथा वे बैंक की तुलना में अधिक तेजी से ऋण उपलब्ध करा सकते हैं।",12.24,Bad,20,32,12
1151,hence millions of people across the region are turning to pawnshops as families feel the squeeze from rising living costs and ballooning household and consumer debt.,इसलिए यहाँ के इलाके में लाखों लोग पैदल चलकर चले जा रहे हैं ।,परिवारों द्वारा जीवनयापन के बढ़ते हुए खर्चों तथा घरेलू और उपभोक्ता ऋण में वृद्धि के कारण कठिनाई का सामना करने के कारण इस क्षेत्र में लाखों लोग पॉनशॉप का रुख कर रहे हैं।,15.73,Bad,14,33,19
1152,"after five years of robust growth since the global financial crisis, and cheap credit fuelled by loose monetary policy in advanced economies, lower and middleincome families are turning to pawn shops to make up the difference as their economies slow.","जब से विश्‍वव्यापी आर्थिक संकट के पाँच साल बीत चुके हैं, और अधिक आर्थिक नीति में आर्थिक नीति द्वारा अनियंत्रित आर्थिक नीति द्वारा ख़राब रूप से ईंधन कम हो गया है, तब से कम और बीच में आ रहे परिवारों ने पैदल की दुकानों में परिवर्तन की ओर मोड़ लिया है ताकि वे इस अंतर को धीमी गति से बढ़ा सकें ।","वैश्विक वित्तीय आपदा के पश्चात पाँच वर्षों तक मजबूत वृद्धि, तथा विकसित अर्थव्यवस्थाओं में सरल मौद्रिक नीति के कारण सस्ते क्रेडिट के बाद, अपनी अर्थव्यवस्था के मंद पड़ने के कारण निम्न तथा मध्यम आय वाले परिवार अपनी आवश्यकताएँ पूरी करने के लिए पॉनशॉप का रुख कर रहे हैं।",22.62,Medium,62,48,14
1153,"this week standard poors, the rating agency, cited increasing household leverage, mainly from rising mortgages, as a risk factor for asian banks creditworthiness.","इस सप्ताह के मानक ग़रीब, रेटिंग विभाग ने, जिसका ज़िक्र बढ़ा - चढ़ाकर किया गया है, मुख्यतः बढ़ते कर्ज़ों से लेकर, जैसे कि यूरोपियन बैंक के बड़े होने का खतरा है ।","इस सप्ताह रेटिंग एजेन्सी, स्टैन्डर्ड्स एंज पुअर्स ने मुख्यतः बढ़ते हुए बंधक मोर्टगेज के कारण बढ़ते हुए घरेलू लाभ को, एशियाई बैंकों की ऋणपात्रता के लिए जोखिम कारक बताया।",26.24,Medium,32,29,3
